Company Name,Job Title,Location,Company Domain,Job LinkedIn URL,Posted On,GPA out of 4,GPA out of 5,Majors,Duration,Skills,Description
GE Vernova,Co-op,Dammam,linktree.com,https://www.linkedin.com/jobs/view/co-op-at-ge-vernova-4068453522,2024-11-04T21:54:19.499Z,,,"electrical, engineering industrial, stem, mis, information systems, business administration, hr, production, mechanical",28 weeks,"Leadership Capabilities, communication skills, proficiency in Microsoft Office applications, active listening, teamwork, ability to communicate effectively with cross-functional teams.","GE Vernova's Co-op program is a 28-week internship focused on developing general skills through on-the-job experience. The program offers assignments related to the intern's major, fostering leadership and communication skills. Roles include assisting with Economic Order Quantity (EOQ) and Vendor Management Inventory (VMI), material scheduling, lean project implementation, data analysis using SAP and Tableau, IT project execution, sourcing new vendors, and contract management. Qualifications include being a student in an engineering or STEM field, proficiency in Microsoft Office, and strong communication skills."
PwC Middle East,Intern - Digital Services - KSA (Saudi Nationals),Riyadh,jo.pwc.com,https://www.linkedin.com/jobs/view/intern-digital-services-ksa-saudi-nationals-at-pwc-middle-east-3976809331,2024-10-31T09:04:31.719Z,3.5,,"artificial intelligence, data science, computer science engineering",6 months,"Be curious, try new things, learn about how PwC works and adds value to clients, think broadly, ask questions about data, facts and other information, support research, analysis and problem solving using a variety of tools and techniques, produce high-quality work adhering to relevant professional standards, keep up-to-date with technical developments for area of specialism, handle, manipulate and analyze data and information responsibly, communicate confidently in a clear, concise and articulate manner (verbally and in materials produced), embrace different points of view and welcome opposing and conflicting ideas, uphold the firm's code of ethics and business conduct.","At PwC, we measure success by our ability to create the value that our clients and our people are looking for. Our reputation lies in building lasting relationships with our clients and a focus on delivering value in all we do. We're a network of firms in 158 countries with more than 236,000 people who are committed to delivering world-class capabilities and quality in assurance, tax and advisory services. Established in the region for 40 years, PwC Middle East employs over 4,200 people across 12 countries. Complementing our depth of industry expertise and breadth of skills is our sound knowledge of local business environments across the Middle East region. Our tailored solutions help our clients meet the challenges and opportunities of doing business in the Middle East market and beyond. The Technology Consulting team is shaping the Digital and IT market in the GCC. Working with Public and private sector clients to help them improve overall value delivered to their customers and employees by formulating digital strategies and helping them in the implementation. We are helping clients unlock the potential of digital by increasing their customer engagement, providing their employees with powerful tools, and helping them optimize and digitize their operations. A career in Digital Services and Technology is an opportunity to bring PwC's strategy to life by driving digitization and technology into everything we deliver. Our clients expect us to bring the right people and the right technology to solve their biggest problems; Digital Services is here to help PwC meet that challenge and accelerate the growth of our business. To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.  As an Intern, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. This is a 6-month internship program, leading to a full-time opportunity with us. PwC Professional skills and responsibilities for this management level include but are not limited to: Be curious and try new things. Learn about how PwC works as a business and adds value to clients. Think broadly and ask questions about data, facts and other information. Support research, analysis and problem solving using a variety of tools and techniques. Produce high-quality work which adheres to the relevant professional standards. Keep up-to-date with technical developments for the area of specialism. Handle, manipulate and analyze data and information responsibly. Communicate confidently in a clear, concise and articulate manner - verbally and in materials produced. Embrace different points of view and welcome opposing and conflicting ideas. Uphold the firm's code of ethics and business conduct."
PwC,EDGE - Real Estate - Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-real-estate-riyadh-at-pwc-4061747276,2024-10-28T19:46:19.000Z,2.0,3.5,"business, stem",,"Client management, problem-solving, analytical thinking, presentation skills.","A career in PwC's Infrastructure and Government practice, within Deals Corporate Finance services, will provide the opportunity to deliver innovative deal solutions to clients, providing advice and support from initiation through to deal completion. The team helps public sector clients finance, deliver, and operate projects cost-effectively. The Edge Graduate Programme involves working across various clients to assist with deal needs, including strategy and transaction advisory, M&A, divestitures, spin-offs, capital markets transactions, business restructurings, and capital projects. The three-year program helps graduates learn to investigate client needs, create proposals, and present information effectively. PwC seeks versatile graduates interested in problem-solving, with a 3.5 GPA or equivalent in a STEM or Business-related degree, fluency in English, and preferably native Arabic skills. The program develops client management, problem-solving, analytical thinking, and presentation skills, and offers opportunities to complete professional qualifications (CFA, ACCA, ACA, or CPA) and various employee benefits."
PwC,Assurance - Core Assurance- Graduate -Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/assurance-core-assurance-graduate-riyadh-at-pwc-4061746356,2024-10-28T20:12:00.085Z,2.0,3.5,"finance, business, accounting, technology, civil engineering",,"Client management, communication, data analysis","Join us on our Assurance Graduate Programme and be part of a human-led, tech-powered future. You'll work across a variety of clients in a range of industries to help our clients build and maintain trust - by ensuring the quality of their financial statements or helping them navigate complex risks. Each of our Assurance Graduates has a different journey. Let us help shape yours! You might be wondering what an Assurance role involves. We help each client achieve their potential, taking the stress out of accounting regulations and delivering their financial statements with trust and transparency through a new perspective. We also help safeguard them against a widening array of risks, and where possible, capitalise on them. Over the two years, you'll learn how to present information effectively, ensuring it's clear to people with all levels of knowledge, areas and backgrounds. Human-led, tech-powered. You might think that Assurance is all about compliance and following rules, but there's more to it. At PwC Middle East, Assurance is about building unique, trusted bonds with clients, navigating your way around complex procedures, and unearthing sustainable solutions and processes. Our teams go above and beyond to gain insights into who their clients are, what they do and what they really need. Our clients need to be transparent, and Assurance is the reason they can be. Discover your future with us. We're looking for independent graduates with a keen eye for detail. You need to be curious, particular in the work you'll do and confident in asking questions. You should also be: A recent or final-year undergraduate on track for a 3.2 GPA or equivalent in an Accounting, Finance, Civil Engineering, Technology or Business-related degree subject area. Fluent in English with a preference for native Arabic language skills (spoken and written). During the programme, we'll help you to develop your client management, communication and data analysis skills, so it's important that you're willing and keen to learn and drive your own development. Our programme won't just help you build the practical experience needed to develop a successful career but will also give you the opportunity to complete a professional qualification during your journey, including Association of Chartered Certified Accountants (ACCA), Certified Public Accountant (CPA) or Saudi Organization for Certified Public Accountants (SOCPA). We'll also offer a wide range of employee benefits differing by location, including: Flexible working model. Holistic wellbeing initiatives and programmes. Medical cover and employee life insurance. We are PwC Middle East. Our business makes change happen. With around 8,000 people across 12 countries in the Middle East, you'll play a part in building a human-led, tech-powered future. We operate regionally, connecting more than 295,000 people across the globe, bringing together unique knowledge and experiences. Ready to transform the Middle East? Submit your application today. Start Date: September 2024"
SAMI Advanced Electronics,Coop Trainee,Riyadh,aecl.com,https://www.linkedin.com/jobs/view/coop-trainee-at-sami-advanced-electronics-4021873069,2024-10-24T09:51:00.000Z,2.75,3.25,"electrical engineering, electronics engineering, computer engineering",12 weeks,"Communication skills, Teamwork, Problem-solving, Adaptability","SAMI-AEC, established in 1988, is a regional leader in electronics with key units in Defense and Aerospace, Digital Business, Energy, and Security. It boasts over 80% Saudization, emphasizing localization, technology transfer, and Saudi talent development. SAMI-AEC offers proprietary products and solutions. The company has advanced its Engineering & Development capabilities and formed strategic international partnerships, excelling in design, manufacturing, systems engineering, integration, and IT services. SAMI-AEC continues to invest in expanding its E&D, manufacturing, testing, and manpower development."
Kreativstorm,Blockchain Developer - Intern (Remote Internship - IT),Riyadh,kreativstorm.de,https://www.linkedin.com/jobs/view/blockchain-developer-intern-remote-internship-it-at-kreativstorm-4071672186,2024-11-07T20:30:06.904Z,,,"computer science, information technology",3 months,"Smart contracts, decentralized applications (DApps), consensus algorithms, blockchain security, analytical thinking, teamwork, communication, blockchain platforms, programming languages (e.g., Ethereum, Solidity, Hyperledger), blockchain protocols, cryptography","Kreativstorm is offering a remote, part-time, 3-month internship (with the possibility of permanent employment) for a Blockchain Developer. Responsibilities include contributing to blockchain development projects (smart contracts and DApps), working with the development team to explore new use cases and optimize existing solutions, assisting with blockchain security assessments, bringing innovative solutions to challenges, and documenting blockchain architectures and project details. Ideal candidates are students or recent graduates in Computer Science, Information Technology, or a related field with an interest in blockchain technology and experience with blockchain platforms and programming languages (e.g., Ethereum, Solidity, Hyperledger) a plus."
PwC,EDGE - Infrastructure Finance - Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-infrastructure-finance-riyadh-at-pwc-4061752209,2024-10-28T19:48:11.000Z,2.0,3.5,"business, stem",,"Client management, problem-solving, analytical thinking, presentation skills","A career in Deals Capital Projects and Infrastructure at PwC will involve delivering innovative deal solutions, advising clients from project initiation to completion, and helping leading companies and governments originate, create, execute, and realize value. The Infrastructure and Project Finance team assists public and private sector clients in financing, delivering, and operating projects efficiently. Responsibilities include helping clients with procurement strategies, project structuring, financing, and negotiations. The Edge Graduate Programme offers opportunities to work across various clients, assisting with deal needs such as strategy and transaction advisory, capital markets transactions, and business restructurings. The program provides training in investigating client needs, creating proposals, and presenting information effectively. PwC Middle East's Deals focuses on providing opportunities, accelerating transformation, and developing stronger capabilities. Ideal candidates are recent or final-year undergraduates with a 3.5 GPA or equivalent in a STEM or Business-related degree, fluent in English, and preferably native Arabic speakers. The program includes development of client management, problem-solving, analytical thinking, and presentation skills, and the opportunity to complete a professional qualification (CFA, ACCA, ACA, or CPA). Benefits include a flexible working model, wellbeing initiatives, medical cover, and employee life insurance."
Saudi Aramco Base Oil Company-Luberef,Intern (Co-Op Training Program),Jeddah,luberef.com,https://www.linkedin.com/jobs/view/intern-co-op-training-program-at-saudi-aramco-base-oil-company-luberef-4060558600,2024-10-27T05:09:10.000Z,2.5,3.5,"engineering chemical, it , marketing, electrical, mechanical, administrative ,accounting , finance, supply chainlogistics, mis, business ,administration, hr, instruments and systems",,"Time management, Communication skills, Adaptability, Problem-solving","Intern (Co-Op Training Program) at Saudi Aramco Base Oil Company-Luberef in Jeddah/Yanbu, Saudi Arabia. Open to Saudi nationals only with a minimum GPA of 2.5/4 or 3.5/5. Accepted majors include Engineering (Chemical, Mechanical, Electrical, Instruments and Systems) and Administration (Accounting & Finance, HR, MIS, Business Administration, Supply Chain/Logistics, IT, and Marketing). Application deadline: 27-Nov-2024. Luberef is a leading supplier of high-quality base oils and the sole virgin base oil producer in Saudi Arabia."
GE Vernova,Co-op,Dammam,linktree.com,https://www.linkedin.com/jobs/view/co-op-at-ge-vernova-4027653822,2024-10-30T11:52:52.149Z,,,"electrical, engineering industrial, stem, mis, information systems, business administration, hr, production, mechanical",28 weeks,"Leadership Capabilities, communication skills, Economic Order Quantity (EOQ), Vendor Management Inventory (VMI), material scheduling, database management, procurement follow up, expediting management, lean project management (including GR process and material withdrawal), preventive maintenance, root cause analysis (8D, 5Why, Fish bone), data analysis (SAP, Tableau), troubleshooting, collaboration, project management, sourcing, RFQ preparation, vendor proposal review, contract award process, data analysis (for decision-making and prioritization), contract management, supplier selection, preferred supplier development, negotiation, e-auctions, cost reduction, on-time delivery, cash improvement, cost analysis, supplier quality and delivery performance improvement, supplier scorecard implementation, Microsoft Office applications, active listening.","GE Vernova is hiring for a Co-op position. The program is an investment in young talents where GE trains students to perform internship programs in Repair shop activities. The program lasts up to 28 weeks (up to 7 months) and develops general skills through on-the-job knowledge and experience. Responsibilities include assisting in the development and implementation of EOQ and VMI, material scheduling, lean project work (GR process, material withdrawal, grinder repair, preventive maintenance), developing lean lines, root cause analysis, supporting lean leaders, acting as a first-line internal customer for IT support, leading LEAN initiatives, job cost review, 5S initiatives, supporting FPY, cell utilization review, lean line support projects, quality form improvements, executing VCP projects, tracking productivity initiatives, data analysis, Kaizen projects, supermarket consumables projects, and detailed 5Whys analysis. Other responsibilities include identifying new vendors, preparing RFQs, reviewing vendor proposals, leading the PO#/contract award process, executing sourcing plans, contract management, local sourcing strategies, supplier selection, preferred supplier development, localization, productivity maximization, process optimization, supplier performance enhancement, leading sourcing project execution, driving cash improvement, performing cost analysis, monitoring supplier quality and delivery performance, developing improvement strategies, implementing supplier scorecards, analyzing and tracking supplier promise date accuracy, holding supplier reviews, and partnering with key business stakeholders. Qualifications include being a student in Engineering (Industrial, Production, Mechanical, or Electrical), STEM major, MIS, HR, Business Administration, Information systems, or a related background; program duration of up to 28 weeks (at least 6 months required); active listening skills; good communication skills in English; strong proficiency in Microsoft Office applications; and being a team player. Desired characteristics include demonstrated EHS and Quality focus, demonstrated leadership potential, a record of achievement, a passion to achieve positive business results, curiosity, a desire to learn and expand skill sets, adaptability, openness to change, striving to achieve project goals and customer satisfaction, proactiveness, and a high level of integrity."
PwC,EDGE - Business Restructuring Services - Riyadh,Riyadh,taxpackagesupport.com,https://www.linkedin.com/jobs/view/edge-business-restructuring-services-riyadh-at-pwc-4061745428,2024-10-28T19:45:46.000Z,2.0,3.5,"business, stem",,"Client management, problem-solving, analytical thinking, presentation skills, investigating client needs, creating proposals, effective communication. Fluency in English is required, with a preference for Arabic language skills.","A career in PwC's Liability Restructuring practice will allow you to help clients reduce balance sheet stress, generate cash, reduce costs, or refinance to support business objectives. The team develops restructuring solutions for organizations facing financial crisis or underperformance, assisting with crisis recovery, financial positioning, lender/creditor management, and control retention. The Deals Graduate Programme (Edge) offers work across various clients, assisting with deal needs including M&A, divestitures, spin-offs, IPOs, and business restructurings. The three-year program helps graduates develop skills in investigating client needs, creating proposals, and presenting information effectively. PwC Middle East's Deals focuses on providing opportunities, accelerating transformation, and developing stronger capabilities. Ideal candidates are recent or final-year undergraduates with a 3.5 GPA or equivalent in a STEM or Business-related degree, fluent in English, and preferably native Arabic speakers. The program helps develop client management, problem-solving, analytical thinking, and presentation skills and offers opportunities to complete professional qualifications (CFA, ACCA, ACA, or CPA). Benefits include a flexible working model, wellbeing initiatives, medical cover, and employee life insurance."
